source,docnumber,year,contract_type,repeat_note,tractor_firstname_italian,tractor_familyname_italian,tractor_firstname_latin,tractor_familyname_latin,tractor_familyname_std_gc,tractor_familyname_std,tractor_2_firstname_italian,tractor_2_familyname_italian,tractor_2_firstname_latin,tractor_2_familyname_latin,tractor_2_familyname_std_gc,tractor_2_familyname_std,stans_firstname_italian,stans_familyname_italian,stans_firstname_latin,stans_familyname_latin,stans_familyname_std_gc,stans_familyname_std,stans_2_firstname_italian,stans_2_familyname_italian,stans_2_firstname_latin,stans_2_familyname_latin,stans_2_familyname_std_gc,stans_2_familyname_std
"Morozzo della Rocca and Lombardo (1940)",650,1228,"colleganza settlement","","Rinaldo","Longo","Raynaldo","Longo","Longo","Longo","","","","","","","Obizo","Speziale","Obicus","Spetiales","","","Martino","Speziale","Martinus","Spetiales","",""
"Morozzo della Rocca and Lombardo (1940)",763,1243,"colleganza","","Omobono","Barbo","Homobonus","Barbo","Barbo","Barbo","","","","","","","Giovanni","Della Fontana","Iohanne","de La Fontana","Dalla Fontana","Dalla Fontana","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",85,1233,"colleganza settlement","","Iacopo","Venier","Iacobus","Venero","Venier","Venier","","","","","","","Luca","unknown","Luca","unknown","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",605,1223,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonico","Gradenigo","Gradenigo","","","","","","","Pietro","Ziani","Petro","Ciani","Ziani","Ziani","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",71,1138,"colleganza","","Enrico","Contarini","Henricus","Contarenus","Contarini","Contarini","","","","","","","Ratolica","Giustiniani","Ratholica","Iustiniani","Giustinian","Giustinian","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",155,1161,"colleganza settlement","","Romano","Mairano","Romano","Mairano","","Marano","","","","","","","Giovanni","Dandolo","Iohannes","Dandulo","Dandolo","Dandolo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",633,1225,"colleganza settlement","","Domenico","Gradenigo","Dominico","Gradonico","Gradenigo","Gradenigo","","","","","","","Tommaso","Gradenigo","Thomas","Gradonico","Gradenigo","Gradenigo","","","","","",""
"Tiepolo (1970)",159,1312,"colleganza","","Leonardo","Venier","Iohannes","Venerio","Venier","Venier","","","","","","","Andrea","Marcello","Andrea","Marcello","Marcello","Marcello","","","","","",""
"Sebellico (1973)",1070,1338,"colleganza","","Matteo","Barbadico","Matheus","Barbadico","Barbarigo","Barbarigo","","","","","","","Zanino","Morosino","Çanino","Mauroceno","Morosini","Morosini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",545,1213,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonico","Gradenigo","Gradenigo","","","","","","","Pietro","Bembo","Petro","Bembo","Bembo","Bembo","","","","","",""
